化学式,dHmix,dSmix,dGmix,电子数差,原子尺寸差,电子浓度,元素种类,密度,熔点,硬度
Al0.1CoCrFeNi,-5.04,12.2,401.2921017,0.1,2.3,8.12,5,7.99,1538.71,4.38
Al0.1CoCrFeNi,-5.04,12.2,401.2921017,0.1,2.3,8.12,5,7.99,1538.71,4.38
Al0.25CoFeNi,-6.059171598,10.68652014,375.142573,0.076999962,3.944930256,8.538461538,4,7.900548046,1430.153846,3.004105521
Al0.25MoNbTiV,-4.041522491,12.70837022,546.1289,0.243216622,4.003399323,4.882352941,5,7.075664374,2098.157909,7.456461981
Al0.25NbTaTiV,-4.816608997,12.70837022,601.9875092,0.05017616,3.832439709,4.647058824,5,8.805485735,2312.760984,6.822790506
Al0.2Co1.5CrFeNi1.5Ti0.3,-10.02975207,13.36783889,392.8520383,0.116865961,4.630363442,8.054545455,6,7.733562964,1513.148704,2.38081192
Al0.2Co1.5CrFeNi1.5Ti0.3,-10.02975207,13.36783889,392.8520383,0.116865961,4.630363442,8.054545455,6,7.733562964,1513.148704,2.38081192
Al0.2Co1.5CrFeNi1.5Ti0.3,-10.02975207,13.36783889,392.8520383,0.116865961,4.630363442,8.054545455,6,7.733562964,1513.148704,2.38081192
Al0.2Co1.5CrFeNi1.5Ti0.3,-10.02975207,13.36783889,392.8520383,0.116865961,4.630363442,8.054545455,6,7.733562964,1513.148704,2.38081192
Al0.2Co1.5CrFeNi1.5Ti0.3,-10.02975207,13.36783889,392.8520383,0.116865961,4.630363442,8.054545455,6,7.733562964,1513.148704,2.38081192
Al0.2CrFeCoNi2Cu0.2,-4.53223594,12.87823209,384.4714902,0.100776138,2.824424341,8.481481481,6,8.04843191,1478.0617,4.976023095
Al0.2CrFeCoNi2Cu0.2,-4.53223594,12.87823209,384.4714902,0.100776138,2.824424341,8.481481481,6,8.04843191,1478.0617,4.976023095
Al0.2MoTaTiV,-3.35600907,12.56917544,551.9585078,0.244332586,4.017794358,4.904761905,5,7.128849756,2119.418332,8.960825344
Al0.3CoCrCu0.3FeNi,-4.383742911,13.99403985,375.9031663,0.106545916,3.647211565,8.086956522,6,7.732722037,1451.347104,5.505040255
Al0.3CoCrCu0.3FeNi,-4.383742911,13.99403985,375.9031663,0.106545916,3.647211565,8.086956522,6,7.732722037,1451.347104,5.505040255
Al0.3CoCrFeNi,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29,3.19
Al0.3CoCrFeNi,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29,3.19
Al0.3CoCrFeNi,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29,3.19
Al0.3CoCrFeNi,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29,3.19
Al0.3CoCrFeNi,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29,3.19
