化学式,dHmix,dSmix,dGmix,电子数差,原子尺寸差,电子浓度,元素种类,密度,熔点
HfNbTaTiZr,2.72,13.38,655.02398,0.12,4.01,4.4,5,9.9,2523
AlCoCrFeNi,-12.32,13.38,437.2111258,0.12,5.25,7.2,5,6.72,1684.09
CrMnFeCoNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
HfMo0.5NbTaTiZr,2.247933884,14.69798576,595.2103931,0.232176194,5.486928917,4.545454545,6,9.933453944,2304.310893
AlCoCrCuFeNi,-4.78,14.9,420.623371,0.12,4.82,7.83,6,7.07,1629.71
CoCrFeMnNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
HfMoTaTiZr,-1.92,13.38161053,597.8068035,0.311229819,6.087901644,4.6,5,10.21042994,2302.643987
CoCrFeMnNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.025760676,1801.2
CrMnFeCoNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
Ti2ZrHf0.5VNb,0.52892562,12.60229632,513.4386746,0.119627521,6.436207738,4.363636364,5,6.887990805,1971.746058
Fe40Mn40Co10Cr10,-0.96,9.923722948,380.7230282,0.138289551,4.045008413,7.5,4,7.715282655,1447.2
Al0.3CoCrFeNi,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29
AlCrMoNbTi,-13.6,13.38,555.5965658,0.23,4.87,4.8,5,6.57,2140.09
CrCuFeMnNi,2.72,13.38,446.328443,0.14,0.92,8.4,5,8.04,1719.15
Al0.5CoCrFeNi,-9.09,13.15,459.275785,0.11,4.22,7.67,5,7.33,1767.5
V10Cr10Fe45Co35Ni0,-4.67,9.87162138,418.0273851,0.085934568,1.720623695,7.85,4,7.93055543,1588.7
HfNbTaTiZr,2.72,13.38,655.02398,0.12,4.01,4.4,5,9.9,2523
NbTiZr,3.111111111,9.134370237,626.5960266,0.041096093,1.064065164,4.666666667,3,9.975229265,2374.666667
CoMnNi,-5.777777778,9.134370237,368.7904174,0.163095064,3.73468262,8.666666667,3,8.372634415,1397.666667
AlCoCrFeMo0.4Ni,-11.6,14.59,458.3715626,0.15,5.44,7.11,6,7.04,1773.86
Ti2ZrHf0.5V,-1.777777778,10.58454586,474.5036779,0.123107902,6.956581546,4.222222222,4,6.52433557,1808.222222
V10Cr10Fe45Co10Ni25,-5.82,11.61262282,407.5763649,0.092714616,1.739286365,8.1,5,7.929630605,1559.303243
Hf0.75NbTa0.5Ti1.5Zr1.25,2.36,12.84151644,557.1020651,0.118594899,4.915964063,4.3,4,8.431908695,2141.385887
AlCoCrFeMo0.05Ni2,-11.94453931,13.2671945,361.0007326,0.124400344,5.422491548,7.652892562,6,7.083622569,1389.938697
AlCoCrFeNi,-12.32,13.38,437.2111258,0.12,5.25,7.2,5,6.72,1684.09
CoCrNi,-4.89,9.13,499.23715,0.11,1.12,8.33,3,8.28,1892
