Li,C,N,Mg,Al,Si,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Zr,Nb,Mo,Sn,Hf,Ta,W,Re,dHmix,dSmix,dGmix,电子数差,原子尺寸差,电子浓度,元素种类,密度,熔点
0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,2.72,13.38,655.02398,0.12,4.01,4.4,5,9.9,2523.0
0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-12.32,13.38,437.2111258,0.12,5.25,7.2,5,6.72,1684.09
0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-4.16,13.38,467.623384,0.14,0.92,8.0,5,8.03,1801.2
0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0,1.0,1.0,0.0,0,2.247933884,14.69798576,595.2103931,0.232176194,5.486928917,4.545454545,6,9.933453944,2304.310893
0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-4.78,14.9,420.623371,0.12,4.82,7.83,6,7.07,1629.71
0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-4.16,13.38,467.623384,0.14,0.92,8.0,5,8.03,1801.2
0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1.0,0.0,0,-1.92,13.38161053,597.8068035,0.311229819,6.087901644,4.6,5,10.21042994,2302.643987
0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-4.16,13.38,467.623384,0.14,0.92,8.0,5,8.025760676,1801.2
0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-4.16,13.38,467.623384,0.14,0.92,8.0,5,8.03,1801.2
0,0.0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.5,0.0,0.0,0,0.52892562,12.60229632,513.4386746,0.119627521,6.436207738,4.363636364,5,6.887990805,1971.746058
0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-0.96,9.923722948,380.7230282,0.138289551,4.045008413,7.5,4,7.715282655,1447.2
0,0.0,0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29
0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,-13.6,13.38,555.5965658,0.23,4.87,4.8,5,6.57,2140.09
0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.72,13.38,446.328443,0.14,0.92,8.4,5,8.04,1719.15
0,0.0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-9.09,13.15,459.275785,0.11,4.22,7.67,5,7.33,1767.5
0,0.0,0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,45.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-4.67,9.87162138,418.0273851,0.085934568,1.720623695,7.85,4,7.93055543,1588.7
0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,2.72,13.38,655.02398,0.12,4.01,4.4,5,9.9,2523.0
0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,3.111111111,9.134370237,626.5960266,0.041096093,1.064065164,4.666666667,3,9.975229265,2374.666667
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-5.777777778,9.134370237,368.7904174,0.163095064,3.73468262,8.666666667,3,8.372634415,1397.666667
0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0,0.0,0.0,0.0,0,-11.6,14.59,458.3715626,0.15,5.44,7.11,6,7.04,1773.86
0,0.0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.5,0.0,0.0,0,-1.777777778,10.58454586,474.5036779,0.123107902,6.956581546,4.222222222,4,6.52433557,1808.222222
0,0.0,0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,45.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-5.82,11.61262282,407.5763649,0.092714616,1.739286365,8.1,5,7.929630605,1559.303243
0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,0.0,0,0.75,0.5,0.0,0,2.36,12.84151644,557.1020651,0.118594899,4.915964063,4.3,4,8.431908695,2141.385887
0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.05,0,0.0,0.0,0.0,0,-11.94453931,13.2671945,361.0007326,0.124400344,5.422491548,7.652892562,6,7.083622569,1389.938697
0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-12.32,13.38,437.2111258,0.12,5.25,7.2,5,6.72,1684.09
0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-4.89,9.13,499.23715,0.11,1.12,8.33,3,8.28,1892.0
0,0.08,0,0.0,1.6,0.24,0.0,0.0,0.0,25.0,73.03,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0,0.0,0.0,0.0,0,-1.347568351,5.506526269,384.2598339,0.124537702,4.212506036,7.657028514,5,7.617485589,1436.525445
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0,-1.12,13.38161053,621.8810016,0.311152696,6.301264119,4.8,5,10.92817442,2395.370077
