掺杂量,尺寸,温度梯度,提拉速度,迁移率
0,36,4,1,396
0.09,36,6,0.5,533
0,14,8,0.5,499
0.1,14,8,0.5,483
0.15,14,8,0.5,458
0.2,14,8,0.5,497
0,14,8,1,470
0,14,10,1,502
0.05,14,8,1,478
0.07,14,8,1,319
0.09,14,8,1,486
0.05,14,11,0.5,521
0.07,14,11,0.5,561
0.09,14,11,0.5,480
0.11,14,11,0.5,471
0,14,11,0.5,530
0,14,11,0.25,556
0.1,14,11,0.25,530
0.12,14,11,0.25,553
0.14,14,11,0.25,535
0.16,14,11,0.25,484
0.18,14,11,0.25,415
0.2,14,11,0.25,543
0,34,10,0.25,507
0,34,11,0.2,537
0,36,10,0.2,541
0,34,6,0.5,470
0.01,36,5,0.5,505
0.03,34,5,0.5,419
0.07,34,7,0.5,454
0.09,34,7,0.5,465
