nelements,radius_mean,radius_mean_wtd,radius_std,radius_std_wtd,radius_range,radius_range_wtd,radius_entropy,radius_entropy_wtd,mass_mean,mass_mean_wtd,mass_std,mass_std_wtd,mass_range,mass_range_wtd,mass_entropy,mass_entropy_wtd,valence_mean,valence_mean_wtd,valence_std,valence_std_wtd,valence_range,valence_range_wtd,valence_entropy,valence_entropy_wtd,electronnegativity_mean,electronnegativity_mean_wtd,electronnegativity_std,electronnegativity_std_wtd,electronnegativity_range,electronnegativity_range_wtd,electronnegativity_entropy,electronnegativity_entropy_wtd,firstionization_mean,firstionization_mean_wtd,firstionization_std,firstionization_std_wtd,firstionization_range,firstionization_range_wtd,firstionization_entropy,firstionization_entropy_wtd,shell_range,d_mean,d_ratio,d_unfill
2,1.04,0.97,0.21,0.1979898987322333,0.42,0.1366666666666666,0.6726198700383119,0.6831885935289709,31.4035,24.53933333333333,20.5925,19.41479518877864,41.185,10.124666666666668,0.4592483527084841,0.6054361312466057,4.5,4.0,1.5,1.4142135623730951,3,0.0,0.6365141682948128,0.6931471805599453,1.85,1.9133333333333336,0.19,0.1791337179005921,0.3800000000000001,0.8066666666666666,0.6878639472290639,0.6014325670093152,7.532249999999999,7.7875,0.7657500000000002,0.7219560235914652,1.5315000000000003,3.2765000000000004,0.6879705744494028,0.6018207924175245,2,1.6666666666666667,0.4166666666666667,3.333333333333333
2,1.1,1.01,0.2700000000000001,0.2545584412271572,0.5400000000000001,0.0966666666666665,0.6627131950543128,0.6885600012003286,97.3255,68.48733333333334,86.5145,81.56665282795142,173.029,54.07266666666667,0.2145162955776002,0.3364376440600153,4.5,4.0,1.5,1.4142135623730951,3,0.0,0.6365141682948128,0.6931471805599453,2.2,2.1466666666666665,0.1599999999999999,0.15084944665313,0.3199999999999998,0.5733333333333333,0.6905002161617066,0.6570445131494749,8.081,8.153333333333332,0.217,0.2045895620233078,0.4340000000000001,2.9106666666666667,0.692786592398138,0.6279983083091303,4,1.3333333333333333,0.1538461538461538,4.0
2,1.095,1.0066666666666668,0.265,0.2498443960192468,0.5300000000000001,0.0999999999999998,0.6635702005597852,0.6882050394699384,53.38549999999999,39.194,42.5745,40.13962354083555,85.149,24.779333333333334,0.3278297765026379,0.4772391514665088,4.5,4.0,1.5,1.4142135623730951,3,0.0,0.6365141682948128,0.6931471805599453,2.1,2.08,0.06,0.0565685424949238,0.1200000000000001,0.6399999999999999,0.6927389617440811,0.6450331516760341,7.6952,7.896133333333333,0.6028000000000002,0.568325290265668,1.2056000000000004,3.167866666666667,0.6900758844183057,0.6103584049589702,3,1.6666666666666667,0.4166666666666667,3.333333333333333
2,1.13,1.0699999999999998,0.3,0.2939387691339813,0.6,0.074,0.6574794569081959,0.6907537952806981,18.8965,17.2794,8.0855,7.922139726109354,16.171,4.3062,0.5985844835768639,0.6617646707768754,3.0,3.0,0.0,0.0,0,0.5999999999999996,0.6931471805599453,0.6730116670092565,1.825,1.868,0.2149999999999999,0.2106561178793533,0.4299999999999999,0.5799999999999998,0.6861916508243582,0.6441383712450707,7.1419,7.37312,1.1561,1.1327420366526528,2.3122,2.58448,0.679987482866178,0.6303881638050726,1,0.0,0.0,0.0
2,1.13,1.03,0.3,0.282842712474619,0.6,0.0766666666666666,0.6574794569081959,0.6903744322558265,95.8795,67.52333333333334,85.0685,80.20335095382376,170.137,53.10866666666667,0.2168830627024243,0.339641391031081,4.0,3.666666666666667,1.0,0.9428090415820634,2,0.3333333333333335,0.6615632381579821,0.6890092384766585,1.77,1.86,0.27,0.2545584412271571,0.54,0.8599999999999999,0.6814670463014058,0.5820788525760486,7.9238,8.048533333333333,0.3742000000000001,0.3527991433600081,0.7484000000000002,3.0154666666666667,0.6920316740724313,0.6212201900374158,4,1.0,0.12,4.666666666666667
3,1.4066666666666667,1.315,0.2903254878388889,0.2973634140239851,0.71,0.1625,1.0768987238121148,1.0871030223543336,140.071,113.0695,77.12009639949022,81.53450164347605,175.135,35.7675,0.9077959046048062,1.0011047441846237,5.0,5.25,0.816496580927726,0.82915619758885,2,2.0,1.0851886129676505,0.9773202089564674,2.1366666666666667,2.2475,0.4616155206325811,0.443473505409286,1.08,0.915,1.0740266071468418,0.967380537493052,8.4421,8.921575,1.3572449815711236,1.439192232425884,2.9433,3.325825,1.0860993835503712,0.9707717439017456,3,3.25,0.2203389830508474,3.5
3,1.44,1.3649999999999998,0.2491318258807306,0.2518432051892606,0.6100000000000001,0.2124999999999999,1.0835854246312533,1.0802469410097508,155.70266666666666,136.517,55.313467566427455,58.30055048625184,128.24,12.32,1.0284364386474183,1.0924947742286046,5.0,5.25,0.816496580927726,0.82915619758885,2,2.0,1.0851886129676505,0.9773202089564674,2.126666666666667,2.2325,0.4521307578811932,0.4323410112399701,1.0499999999999998,0.8999999999999999,1.0747811394409572,0.9701333626104116,8.239566666666667,8.617775,1.0711097433140184,1.1355975043451796,2.3357,3.022025,1.0903858863198654,0.9853808947908004,3,8.25,0.4177215189873418,1.75
2,1.4500000000000002,1.4833333333333334,0.0999999999999999,0.0942809041582063,0.1999999999999999,0.5833333333333333,0.6907671705264811,0.6136933668679538,155.94299999999998,173.622,53.03699999999999,50.00376313838789,106.07399999999998,105.018,0.6341414361690383,0.4970111945502903,7.0,6.333333333333334,2.0,1.8856180831641267,4,0.333333333333333,0.6517565611726531,0.6917614988524178,2.15,2.1066666666666665,0.1299999999999999,0.1225651754056681,0.2599999999999998,0.5866666666666668,0.6913180499046876,0.6538539288020517,7.372249999999999,7.343366666666666,0.0866500000000001,0.0816944034530858,0.1733000000000002,2.3707666666666665,0.6930781061744641,0.6400875461258653,2,9.333333333333334,0.417910447761194,0.6666666666666666
3,1.2033333333333334,1.158,0.2659991645768,0.2693993318477238,0.6,0.254,1.0726379371044257,1.059315113282988,98.22166666666666,81.6764,69.53707369134509,64.4981429704763,170.137,36.83800000000001,0.7881098615407758,0.8615882183660892,5.666666666666667,5.8,2.494438257849294,2.712931993250108,6,2.6,1.0027399543973452,0.9250738293082053,1.94,2.028,0.3261901286060017,0.2849842100889099,0.7799999999999998,0.6119999999999999,1.084026158624443,1.0083948484411716,7.768833333333333,7.81268,0.3760050029217993,0.3976437269717706,0.8391000000000002,1.80928,1.0974531653199389,1.0489646439735398,4,3.8,0.441860465116279,3.0
3,1.2066666666666666,1.162,0.2678722747048592,0.2722792683991934,0.6,0.258,1.0723856012335409,1.0582879048263274,127.992,117.4008,82.98709803738572,87.12742980347808,181.406,72.56240000000001,0.8014586533431645,0.7615622223931647,5.666666666666667,5.8,2.494438257849294,2.712931993250108,6,2.6,1.0027399543973452,0.9250738293082053,1.9133333333333336,1.996,0.2994810326028828,0.2581162528784269,0.7000000000000002,0.5800000000000001,1.085922370089291,1.0115917721904708,8.271533333333334,8.41592,0.5789536845801132,0.5264406762399731,1.4174000000000009,2.07688,1.096155805721355,1.0386730503550743,4,3.4,0.2394366197183098,3.8
